countriesAndTerritories,cases_weekly
Afghanistan,1994
Albania,3569
Algeria,3428
Andorra,10
Angola,652
Anguilla,3
Antigua_and_Barbuda,5
Argentina,43370
Armenia,3883
Aruba,147
Australia,114
Austria,15164
Azerbaijan,13395
Bahamas,69
Bahrain,1451
Bangladesh,8435
Barbados,40
Belarus,15065
Belgium,12159
Belize,416
Benin,38
Bermuda,54
Bhutan,156
Bolivia,4458
"Bonaire, Saint Eustatius and Saba",4
Bosnia_and_Herzegovina,4167
Botswana,1011
Brazil,220666
British_Virgin_Islands,7
Brunei_Darussalam,0
Bulgaria,6521
Burkina_Faso,1184
Burundi,48
Cambodia,1
Cameroon,428
Canada,36706
Cape_Verde,144
Cayman_Islands,2
Central_African_Republic,23
Chad,125
Chile,14540
China,1242
Colombia,85740
Comoros,65
Congo,371
Costa_Rica,5869
Cote_dIvoire,258
Croatia,9518
Cuba,1192
Curaçao,177
Cyprus,1969
Czechia,46817
Democratic_Republic_of_the_Congo,1107
Denmark,21392
Djibouti,32
Dominica,0
Dominican_Republic,6353
Ecuador,3429
Egypt,6986
El_Salvador,847
Equatorial_Guinea,17
Eritrea,232
Estonia,4014
Eswatini,1260
Ethiopia,3194
Falkland_Islands_(Malvinas),5
Faroe_Islands,36
Fiji,0
Finland,1975
France,89292
French_Polynesia,368
Gabon,90
Gambia,8
Georgia,12681
Germany,141182
Ghana,850
Gibraltar,462
Greece,4859
Greenland,7
Grenada,9
Guam,59
Guatemala,1840
Guernsey,4
Guinea,138
Guinea_Bissau,0
Guyana,122
Haiti,228
Holy_See,0
Honduras,3081
Hungary,11539
Iceland,84
India,152311
Indonesia,48435
Iran,48393
Iraq,7452
Ireland,7352
Isle_of_Man,1
Israel,27627
Italy,94511
Jamaica,443
Japan,19851
Jersey,327
Jordan,10498
Kazakhstan,7009
Kenya,1492
Kosovo,1632
Kuwait,1674
Kyrgyzstan,1281
Laos,0
Latvia,5898
Lebanon,13122
Lesotho,410
Liberia,12
Libya,3181
Liechtenstein,263
Lithuania,17882
Luxembourg,1782
Madagascar,81
Malawi,216
Malaysia,11787
Maldives,151
Mali,512
Malta,712
Marshall_Islands,0
Mauritania,1360
Mauritius,1
Mexico,63515
Moldova,6148
Monaco,75
Mongolia,144
Montenegro,2739
Montserrat,0
Morocco,14954
Mozambique,742
Myanmar,5752
Namibia,3573
Nepal,4409
Netherlands,80594
New_Caledonia,1
New_Zealand,23
Nicaragua,53
Niger,500
Nigeria,6377
North_Macedonia,3499
Northern_Mariana_Islands,6
Norway,4282
Oman,805
Pakistan,14341
Palestine,10316
Panama,19667
Papua_New_Guinea,19
Paraguay,4762
Peru,10433
Philippines,10097
Poland,58310
Portugal,22545
Puerto_Rico,13317
Qatar,1061
Romania,27135
Russia,315367
Rwanda,728
Saint_Kitts_and_Nevis,2
Saint_Lucia,18
Saint_Vincent_and_the_Grenadines,5
San_Marino,168
Sao_Tome_and_Principe,2
Saudi_Arabia,1210
Senegal,970
Serbia,24872
Seychelles,12
Sierra_Leone,51
Singapore,102
Sint_Maarten,73
Slovakia,16756
Slovenia,9428
Solomon_Islands,0
Somalia,28
South_Africa,89949
South_Korea,7089
South_Sudan,263
Spain,60164
Sri_Lanka,3793
Sudan,493
Suriname,430
Sweden,37168
Switzerland,49051
Syria,838
Taiwan,27
Tajikistan,277
Thailand,1378
Timor_Leste,10
Togo,160
Trinidad_and_Tobago,103
Tunisia,9874
Turkey,143293
Turks_and_Caicos_islands,51
Uganda,2786
Ukraine,59381
United_Arab_Emirates,8261
United_Kingdom,289583
United_Republic_of_Tanzania,0
United_States_Virgin_Islands,83
United_States_of_America,1306812
Uruguay,3829
Uzbekistan,784
Vanuatu,0
Venezuela,2241
Vietnam,28
Wallis_and_Futuna,0
Western_Sahara,0
Yemen,9
Zambia,1227
Zimbabwe,795
